x1	x2	x3	x4	
-4.050000011920e-002	-6.091199815270e-002	-5.145199969410e-002	-6.779699772600e-002
4.056400153790e-003	1.198900025340e-002	8.537400281060e-004	4.741999786350e-003
-1.524399966000e-002	-1.136299967770e-002	-4.041700065140e-002	-9.254399687050e-003
-1.604199968280e-002	-6.254700128920e-004	2.001200057570e-002	2.579000033440e-002
1.865199999880e-003	-7.535300217570e-003	-1.086299959570e-002	-5.971000064160e-003
-6.262300163510e-002	-6.227000057700e-002	-6.671699881550e-002	-1.394100040200e-001
2.945999987420e-002	3.080100007360e-002	3.592399880290e-002	2.836300060150e-002
-1.446400024000e-002	-1.284500025210e-002	3.681699931620e-002	9.243099950250e-003
-4.706100095060e-003	5.197199992840e-003	-2.274199947710e-002	-3.502799943090e-002
1.896899938580e-002	2.649199962620e-002	2.014300040900e-002	2.954399958250e-002
2.124699996780e-003	-9.913500398400e-003	-3.264399990440e-002	-2.992700040340e-002
-3.739799931650e-002	-2.541499957440e-002	-2.065699920060e-002	-2.306799963120e-002
1.427800022070e-002	3.594199940560e-002	2.290299907330e-002	5.641900002960e-003
1.538100000470e-002	2.745399996640e-002	2.612099982800e-002	3.593000024560e-002
7.877399772410e-002	7.893499732020e-002	1.083599999550e-001	7.181800156830e-002
-1.579200034030e-003	1.106499973680e-002	6.402099970730e-003	4.304599948230e-003
-1.097899954770e-002	-2.582399919630e-002	-7.047999650240e-002	-7.442399859430e-002
-2.172599919140e-002	-2.162200026210e-002	-5.375700071450e-002	-5.441100150350e-002
5.940400063990e-003	-1.004599966110e-002	-1.454100012780e-002	-4.919799976050e-003
1.604500040410e-002	2.422899939120e-002	4.907999932770e-002	3.595300018790e-002
1.264199987050e-002	5.270100198690e-003	-1.113600004460e-002	-6.089100148530e-003
-1.465700007980e-002	-5.616399925200e-003	-2.600199915470e-002	-2.323699928820e-002
-1.866699941460e-002	8.870299789120e-004	-2.292199991640e-002	-4.590100143100e-003
5.682200193410e-003	3.279000148180e-002	3.602799959480e-003	1.821600086990e-002
-2.660799957810e-002	-1.795499958100e-002	4.641400184480e-003	-1.049499958750e-002
1.538600027560e-002	2.860599942510e-002	3.089899942280e-002	4.492000117900e-002
3.920699935410e-003	1.381599996240e-002	7.636900059880e-003	-3.036099951710e-003
-3.544000163670e-002	-2.043900080030e-002	-2.316400036220e-002	-3.638999909160e-002
-1.494400016960e-002	-2.534300088880e-002	-3.878799825910e-002	-2.142499946060e-002
-2.641200087960e-002	-1.862399978560e-003	-5.693300068380e-002	-5.740299820900e-002
-2.788599953060e-002	9.682700037960e-003	2.023899927740e-002	-1.654399931430e-002
-4.702399950470e-003	1.393300015480e-003	-3.497499972580e-003	1.597700081770e-002
2.785700000820e-002	1.051000040020e-002	2.664699964230e-002	3.384400159120e-002
2.115800016330e-004	-1.232200022790e-002	-4.724400117990e-003	-1.865899976110e-004
1.162000000480e-002	2.738999947910e-002	3.321300074460e-002	5.116099864240e-002
2.071299962700e-002	1.536799967290e-002	1.131299976260e-002	7.440799847250e-003
-7.037899922580e-003	-2.861399902030e-003	2.140800002960e-003	-1.086900010700e-002
-1.122699957340e-002	-2.020799927410e-002	-2.607499994340e-002	-2.592200040820e-002
-1.491000037640e-002	-9.382399730380e-005	-3.516499884430e-003	-1.423900015650e-002
-4.748099949210e-003	-3.470100089910e-002	-2.151600085200e-002	-2.617200091480e-002
-1.602699980140e-002	-6.347199901940e-003	-3.638600185510e-002	-4.157299920920e-002
-1.386700011790e-002	-2.721299976110e-002	-2.123099938040e-002	-1.279199961570e-002
1.152199972420e-002	1.467899978160e-002	7.842400111260e-003	-4.285399988290e-002
